id,in_temperature,out_temperature,roll_gap_ratio,deformation_resistance,lever_arm_coefficient,rolling_efficiency,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1370.1590037442943,0.78,1.009e+08,0.64,0.76,1730311.1379171587,88805.84290731838,0.9397828049301378,0.6191612230246614,0.017148589643060406,0.10264725338844821
1,1370.1590037442943,1364.4537515435054,,,,,,,,,,
2,1364.4537515435054,1363.3530569752443,0.82,1.054e+08,0.63,0.77,1475224.5640704846,81193.77936416956,0.9777834203400847,0.7813208692454376,0.013999218592051343,0.11007650135669815
3,1363.3530569752443,1358.6261749517007,,,,,,,,,,
4,1358.6261749517007,1358.1920524202058,1.08,1.079e+08,0.57,0.80,1520280.0064617207,79873.99538691167,0.9577472839851745,1.189279893005622,0.014091959881059811,0.10507800542981466
5,1358.1920524202058,1354.4412597795003,,,,,,,,,,
6,1354.4412597795003,1354.944635775999,0.91,1.141e+08,0.61,0.78,1060238.2748759326,48674.7801199701,0.9271288736485785,1.3052394848877424,0.00929203060780774,0.09181856809624411
7,1354.944635775999,1351.4540345259254,,,,,,,,,,
8,1351.4540345259254,1354.4269751167508,1.16,1.191e+08,0.55,0.81,1082735.8481629593,52467.31895499702,0.9994334047704834,2.423557423991154,0.009088197576299932,0.09691619436821367
9,1354.4269751167508,1351.269389250896,,,,,,,,,,
10,1351.269389250896,1352.97881114993,1.11,1.195e+08,0.57,0.80,807971.2143068599,37064.33124439219,0.8881361897081341,2.147029171693889,0.006761443200451199,0.09174666272285167
11,1352.97881114993,1349.419142895657,,,,,,,,,,
12,1349.419142895657,1353.4137729529361,1.13,1.304e+08,0.56,0.80,708902.2774713878,26391.92124684934,0.9953412068871245,4.334602953651271,0.005437326911757333,0.07445855962259777
13,1353.4137729529361,1350.1719440465615,,,,,,,,,,
14,1350.1719440465615,1353.451871315065,1.40,1.303e+08,0.51,0.80,688429.8484509595,29013.620335469193,0.9770092931377242,4.193154470589932,0.005285384610971416,0.08428925736079843
15,1353.451871315065,1345.1024371174442,,,,,,,,,,
16,1345.1024371174442,1351.2838762687036,1.49,1.437e+08,0.50,0.80,611787.4829240174,22407.91839634866,0.9170410958533658,8.468225190463073,0.00425599710102336,0.0732539289272503
17,1351.2838762687036,1347.373827059186,,,,,,,,,,
18,1347.373827059186,1351.1676426960075,1.51,1.419e+08,0.50,0.80,480940.5699816548,17374.622532073594,0.9595087910399002,7.040159264719976,0.003389916647934437,0.07225267992149774
19,1351.1676426960075,1347.9202312636996,,,,,,,,,,
20,1347.9202312636996,1355.585129671443,1.91,1.61e+08,0.44,0.76,531689.1818351906,18410.26265971806,0.9373273237892625,15.207606299664471,0.0033015355101402534,0.06925197385499841
21,1355.585129671443,1352.6650234703056,,,,,,,,,,
22,1352.6650234703056,1359.33603277596,1.94,1.619e+08,0.44,0.76,410865.7761657023,15016.40028255089,0.9593878592865366,15.80446042228841,0.002537741852204247,0.07309637917612671
23,1359.33603277596,1357.036948307223,,,,,,,,,,
24,1357.036948307223,1364.2479781219447,1.79,1.697e+08,0.46,0.78,306075.9531573935,7944.617231799897,0.9033773358284951,28.24315269559498,0.0018039519720185612,0.05191271741438985
25,1364.2479781219447,1361.0967570674559,,,,,,,,,,
26,1361.0967570674559,1366.7963244011073,1.77,1.687e+08,0.46,0.78,241516.88565335554,6191.488412543645,0.972734664343744,27.96765993986352,0.0014314455721512022,0.05127168144615915
27,1366.7963244011073,1364.1877037274623,,,,,,,,,,
28,1364.1877037274623,1372.105853121688,2.00,1.852e+08,0.43,0.75,236744.48494140836,5353.2315305803995,0.9432061611985891,49.494045853064094,0.001278560026387468,0.04522370632545265
29,1372.105853121688,1369.522540076774,,,,,,,,,,
30,1369.522540076774,1375.104500494542,2.04,1.809e+08,0.43,0.75,191587.93572208978,4540.450349709207,0.980528369101193,41.536471210115536,0.0010590495530273857,0.04739808206186232
